0,1,2,3,4,5,6
2021-09-05 15:34:07+00:00,1434540352355061767,Is this a good name for the kid of a startup founder? https://t.co/hxb1tDZl1P,16,1,4,0
2021-09-04 15:33:15+00:00,1434177747245490183,1st time startup founders be like https://t.co/oTx9MQOrqM,449,37,22,5
2021-09-04 13:32:08+00:00,1434147267603226626,"After being stuck at $500 for 14 months 😩

August was our best month ever with $2.8k 🥳🎉

All because of twitter audience growth 📈

Next milestone for my startup is $5k.

The day my wife and I stop using our savings 👩‍❤️‍💋‍👨 https://t.co/v5tll4uMXM",437,14,64,3
2021-09-03 15:32:09+00:00,1433815081444421632,I'm tired of fighting with these 2 🙄 https://t.co/QtUH5UxAR5,30,2,6,0
2021-09-03 13:55:12+00:00,1433790686579634178,"Studies say startups fail for 30 different reasons.

But the real reason is this:

Founders lost motivation and quit before they figured it out 😵

So I just focus on ways to stay motivated in the long run 🧘‍♂️

If I just keep trying, eventually I will succeed 💪",248,23,36,3
2021-09-02 15:33:08+00:00,1433452942191964161,1st-time startup founders putting all their hopes on launch day 😅 https://t.co/jzkzw8rlGx,353,42,29,4
2021-09-02 13:32:20+00:00,1433422541968773127,"I spent 2.5 years working on my startup without doing marketing.

It made me so happy to polish the product every day 🤗

But after a while, not making money removed all the joy 😰

So I stopped building and started marketing.

Sales took off and I started feeling happy again 🚀",437,32,24,6
2021-09-01 15:35:15+00:00,1433091089330737152,Founders trying to grow their startup 😅 https://t.co/4el7wyVRmf,1611,244,52,49
2021-09-01 13:52:23+00:00,1433065201239302147,"I often wonder if the idea for my startup is crazy.

Since no similar product exists yet, maybe it’s because it’s stupid 🤔?

Then I remember that every innovation is like that 💡

And as an entrepreneur, my job is to believe in my idea 💪

Until one day everyone else does 🙏",161,10,30,2
2021-08-31 15:33:07+00:00,1432728162618822663,First-time startup founders don't know they need phase 2. Can you guess what it is? 😅 https://t.co/vafcSYw5we,125,12,75,8
2021-08-30 15:34:07+00:00,1432366028500213760,startup founder: which one will you choose 😬? https://t.co/os8fMFWv4l,154,12,29,8
2021-08-30 13:29:06+00:00,1432334564567957516,"I explained my startup idea to a couple of friends before building it.

They loved it and said it would be a huge success 🔥

Then we launched and none of them used it 😭

So in the end I hadn’t validated my product…

I just validated I had nice friends 😅",2156,262,108,58
2021-08-29 17:33:13+00:00,1432033609901281292,Belief against all odds is the most important quality for a startup founder.,40,1,1,1
2021-08-29 15:34:08+00:00,1432003642266165251,how to make a startup founder cry 😅 https://t.co/8iTOZyrt6N,134,13,14,6
2021-08-29 13:27:04+00:00,1431971666981183489,"Some startup founders want to make the world a better place.

Some want to build their dream product.

And some want to get rich.

All these motives are legit 👌

But one day it will get tough and you’ll think of giving up.

So make sure you have a good reason to keep pushing 💪",50,2,5,1
2021-08-28 15:33:08+00:00,1431641001953742858,He's back 😭 https://t.co/MI6QnW9WvW,88,3,9,2
2021-08-28 13:32:05+00:00,1431610540233797638,"I was advised to run ads to grow my startup 🚀

But as a bootstrapper this is too expensive 😫

So I started doing cheaper marketing like build a twitter audience.

Not as impressive but less risky and it worked 🤷‍♂️

If you’re a shrimp, don’t try to swim like a whale 😅

🦐 !== 🐋",490,40,32,7
2021-08-27 17:27:12+00:00,1431307322035511297,"I tried to find the secret to make a startup succeed.

So I met with many successful founders 😎

Then I realized they all had different approaches 🤨

But they had one thing in common:

They kept trying different things until it worked 🤷‍♂️

There is no secret, just keep trying 💪",196,23,15,5
2021-08-27 15:32:07+00:00,1431278359028305926,"After 3 years building my startup, I can safely say that I've made every single mistake people warned me about. 😅 https://t.co/9s5N1juFiP",164,13,15,4
2021-08-27 13:43:46+00:00,1431251094144004101,"I get scared of working on the wrong priority for my startup.

So I spend days over-thinking to sort it out 🤔

But then I look back and see I stopped making progress in the meantime 😭

So now I don’t sweat working on lower priorities.

Any progress is better than no progress 💪",44,1,10,0
2021-08-27 12:33:43+00:00,1431233465568145408,"Most courses I've seen promoted here are usually b.s.

But as a freelance dev for 15 years, I can tell you this is the real deal. It explains ~90% of what I learned along the way, for free.

If you're just starting, it will save you lots of time🔥

Thanks for doing this Vitto🙏🚀 https://t.co/27hBhQKjnZ",19,2,1,1
2021-08-26 17:34:11+00:00,1430946692833161223,"I had read lots of startup books before building mine 📚

I thought it would prepare me 🤓

But it was like learning to swim without going into the water 🤦‍♂️

Once I got in, I had no actual abilities 😨

It's only when building it that I started learning 💪",83,0,17,1
2021-08-26 15:33:15+00:00,1430916255758831617,Talking to a friend after 3 years on my startup 🤔 https://t.co/51j1TT34iR,332,44,13,7
2021-08-26 13:32:05+00:00,1430885765056188418,"I quit my job with 18 months of savings to build a startup.

But I still didn’t make money when I reached the end 😞

My dreams were over ☠️

Then I got a surprise inheritance 🤯

It gave me more time, and I found how to be profitable 🔥

Few admit this but luck matters too 🍀",197,12,19,2
